video_id,topic,topic_label
3fhU8N99GHQ,10,addiction / substance / cannabis
3hZjy_6qCbA,20,sex / asexuality / penis
3IAQoduxAxM,14,burnout / employee / job
3iM3hbKvKLU,22,psychosis / chatbot / risk
3j6fD6CaOd4,-1,Outlier
3jUJYPGaK8M,3,trauma / anger / emotion
3jXgdKDOfuU,0,motivation / job / brain
_3KvgT4z6y0,2,game / dopamine / brain
3l2eKL3MVBE,5,adhd / brain / medication
3-LRU-lsayw,-1,Outlier
3MX_omZ70HA,18,anxiety / panic / attack
3nWpNBBkyu0,0,motivation / job / brain
3PU0S-VyLWo,-1,Outlier
-3qs1YKMKNg,-1,Outlier
3QWIxElEnc8,0,motivation / job / brain
3SSNhafDTwU,3,trauma / anger / emotion
3Tfs3NLZEa4,-1,Outlier
3The1PBDRoc,7,depression / therapist / therapy
3usPQrX_k6A,16,narcissist / parent / narcissism
3uXkIGKwhao,11,sleep / bed / caffeine
3V8VJxYHlRA,13,comparison / insecurity / ego
3vEus7s60Gs,2,game / dopamine / brain
3VsxjbpMTao,4,relationship / love / friend
3w08phOWRj4,-1,Outlier
3W5yfis3KTY,3,trauma / anger / emotion
3wqOyE7jxeo,5,adhd / brain / medication
3X30suG6igk,-1,Outlier
3XxVGrQb0fw,13,comparison / insecurity / ego
3y4Xy0Gk1uA,10,addiction / substance / cannabis
3y5p7V05xls,0,motivation / job / brain
3yHeJ69AxQ0,-1,Outlier
3ZeQJeTpVMI,-1,Outlier
41YbGBZkaDk,2,game / dopamine / brain
430UIt6mLW4,0,motivation / job / brain
43gyezZiarQ,12,meditation / technique / practice
44HVIiR4oO4,3,trauma / anger / emotion
-4-5LEn9M84,-1,Outlier
45pybsbsvLQ,0,motivation / job / brain
46ULM7NLhsc,24,generation / formula / despair
498-bf2BhgQ,2,game / dopamine / brain
4ctkBMCGCyo,5,adhd / brain / medication
4d31jOrnzmE,2,game / dopamine / brain
4DAwAHnl8tY,1,game / dad / friend
4DNOc2dP_X4,4,relationship / love / friend
-4E8qm3bVek,26,loneliness / arousal / being
4fH3C2UNMnc,-1,Outlier
4FNDWA_YfwI,-1,Outlier
4GPE1rIVAqY,9,parent / boundary / kid
4i2j8x3SCMY,21,shame / self / emotion
4JGfJTjPGhM,-1,Outlier
4jHEXJR8Z-g,6,gender / dude / emotion
4Jvq0UUtqgE,5,adhd / brain / medication
4KNE2zOVE0Y,24,generation / formula / despair
4l5w1BCfVFE,6,gender / dude / emotion
4LIf6aVALm0,4,relationship / love / friend
4LiTscihbuo,20,sex / asexuality / penis
4L-tyBEdtUM,7,depression / therapist / therapy
4nd1CDZP21s,9,parent / boundary / kid
4OWlQl_yS4Y,1,game / dad / friend
4PTl27tTmfY,5,adhd / brain / medication
4qn7ep6ZpRY,-1,Outlier
4rhStjG0XVY,9,parent / boundary / kid
4SJci-UBY9Y,-1,Outlier
4STxr-mUxT0,-1,Outlier
4uS-H6x6aqk,-1,Outlier
4uzi0rkHCpI,-1,Outlier
4wVGKfTI1zE,12,meditation / technique / practice
4z6hCJVTwcI,-1,Outlier
505kOstzPoE,0,motivation / job / brain
58DxcOs-A0w,4,relationship / love / friend
58kdlgKvEU0,-1,Outlier
5AB2l8Cehwk,24,generation / formula / despair
